number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
2,4393,1830,1318,1690,322,6,4,4500,3195,260,6200,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,11.0
5,4775,1800,1415,1540,480,8,4,3700,4619,347,5700,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,13.0
5,4805,1800,1420,1800,480,8,4,3700,4619,347,5700,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,13.0
4,4780,1855,1330,1865,570,12,2,4000,5646,416,5400,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,13.0
5,5025,1751,1420,1860,470,12,2,4000,4988,350,5300,4,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,10.0
5,4984,1862,1415,2035,560,12,2,4100,5646,387,5200,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,11.0
4,4433,1710,1328,1450,320,6,4,5200,2997,250,5700,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,9.0
5,4433,1698,1373,1330,320,6,4,4400,2997,250,5700,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,9.0
5,4433,1698,1373,1330,330,6,4,4400,3152,265,5800,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,9.0
4,4488,1757,1352,1620,335,6,4,4500,3300,280,6200,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,11.0
